   151/299     4.57G   0.01822   0.03855  0.002804   0.05957        86       640    0.9653    0.9517    0.9684    0.7853   0.01769   0.03624  0.005199
   152/299     4.57G   0.01812   0.03821  0.002945   0.05927        35       640    0.9642    0.9756    0.9711    0.7871   0.01799   0.03732  0.003715
   153/299     4.57G    0.0178    0.0393  0.002784   0.05988        51       640    0.9616     0.975    0.9695    0.7874   0.01773   0.03726  0.003579
   154/299     4.57G   0.01802   0.03628  0.002858   0.05716        82       640    0.9664    0.9473      0.97    0.7891   0.01776   0.03684  0.005058
   155/299     4.57G   0.01753   0.03738  0.002734   0.05764        94       640    0.9462    0.9713    0.9729    0.7904   0.01796   0.03559  0.004406
   156/299     4.57G   0.01869   0.03889   0.00271   0.06029        55       640    0.9721    0.9618    0.9755     0.793   0.01782    0.0365  0.003814
   157/299     4.57G   0.01767   0.03729  0.002916   0.05787        39       640    0.9693    0.9643    0.9742    0.7978    0.0174   0.03575  0.003736
   158/299     4.57G   0.01739   0.03623   0.00269    0.0563        42       640    0.9625    0.9667    0.9688    0.7928   0.01786   0.03709  0.004415
   159/299     4.57G    0.0177   0.03829  0.003005   0.05899       101       640    0.9682    0.9602    0.9684    0.7876    0.0177   0.03665  0.004242
   160/299     4.57G   0.01706   0.03548   0.00267   0.05521        73       640    0.9708     0.965    0.9679     0.786   0.01768    0.0372  0.003632
   161/299     4.57G   0.01708   0.03794  0.002674    0.0577        28       640    0.9713      0.96    0.9701    0.7898   0.01786   0.03679  0.003866
   162/299     4.57G   0.01721   0.03651  0.002685   0.05641        80       640    0.9635    0.9719    0.9773    0.7976   0.01761   0.03587  0.003738
   163/299     4.57G   0.01688   0.03761   0.00253   0.05702        39       640    0.9653     0.975    0.9758    0.7997   0.01764   0.03622  0.003422
   164/299     4.57G   0.01751   0.03573  0.002703   0.05595        17       640    0.9607    0.9604    0.9701    0.7936   0.01759   0.03737  0.004169
   165/299     4.57G    0.0171   0.03516  0.002538    0.0548        26       640    0.9606    0.9583    0.9691    0.7877    0.0177   0.03729  0.004862
   166/299     4.57G    0.0173   0.03603  0.002635   0.05597        56       640    0.9587    0.9614    0.9661     0.786   0.01789   0.03867  0.004026
   167/299     4.57G   0.01738    0.0371  0.002862   0.05734        25       640    0.9662    0.9652    0.9702    0.7907   0.01773   0.03825  0.003553
   168/299     4.57G   0.01706   0.03571  0.002646   0.05542        65       640    0.9758    0.9722    0.9711    0.7923   0.01764   0.03795  0.003188
   169/299     4.57G   0.01677   0.03515  0.002715   0.05464        67       640    0.9705    0.9749    0.9709    0.7892   0.01752   0.03712  0.003308
   170/299     4.57G   0.01683   0.03562  0.002704   0.05515        64       640    0.9663    0.9597    0.9711    0.7922   0.01734   0.03587  0.004391
   171/299     4.57G   0.01679   0.03724   0.00251   0.05654        23       640    0.9671    0.9598    0.9683    0.7903   0.01748   0.03668  0.004301
   172/299     4.57G   0.01706   0.03742  0.002681   0.05715        49       640    0.9658    0.9613    0.9688    0.7868   0.01741   0.03638  0.004556
   173/299     4.57G   0.01703   0.03487   0.00249   0.05439        10       640    0.9725    0.9768    0.9715    0.7856   0.01764   0.03724  0.003188
   174/299     4.57G   0.01681   0.03635  0.002718   0.05588        48       640    0.9766    0.9506    0.9686    0.7894   0.01774   0.03791  0.003906
   175/299     4.57G   0.01634   0.03615  0.002612   0.05511        64       640    0.9717    0.9646    0.9692    0.7863   0.01793   0.03868  0.003575
   176/299     4.57G   0.01689   0.03495  0.002505   0.05434        42       640    0.9636    0.9693     0.969    0.7828   0.01798   0.03859  0.004038
   177/299     4.57G   0.01706   0.03818   0.00251   0.05775        72       640    0.9602    0.9646    0.9667    0.7877   0.01786   0.03794  0.004493
   178/299     4.57G   0.01623   0.03625   0.00255   0.05503        57       640    0.9696    0.9662    0.9686    0.7923    0.0174   0.03685  0.003614
   179/299     4.57G   0.01608   0.03407  0.002421   0.05257        29       640    0.9543    0.9746    0.9695    0.7887   0.01761   0.03724   0.00365
   180/299     4.57G   0.01686   0.03704  0.002508    0.0564        80       640    0.9564    0.9693    0.9673    0.7889   0.01745   0.03755  0.004128
   181/299     4.57G   0.01695   0.03683  0.002544   0.05632        61       640    0.9586    0.9704    0.9692    0.7912    0.0175   0.03732  0.003918
   182/299     4.57G   0.01593   0.03678  0.002344   0.05505        39       640    0.9586    0.9652    0.9662    0.7873   0.01761    0.0376  0.004501
   183/299     4.57G   0.01697   0.03728  0.002586   0.05684       105       640    0.9524    0.9763    0.9682    0.7884   0.01737   0.03698  0.003845
   184/299     4.57G   0.01672   0.03498  0.002462   0.05416        25       640    0.9702    0.9685     0.969    0.7921   0.01746   0.03729  0.003614
   185/299     4.57G   0.01622   0.03438  0.002332   0.05293        50       640     0.953      0.97    0.9682    0.7886   0.01765   0.03752   0.00404
   186/299     4.57G   0.01616   0.03455  0.002455   0.05317        27       640    0.9704    0.9601     0.968    0.7893   0.01746   0.03718  0.003719
   187/299     4.57G   0.01628   0.03412  0.002522   0.05292        73       640    0.9707    0.9565    0.9684    0.7947   0.01746   0.03853  0.004035
   188/299     4.57G   0.01626    0.0371  0.002424   0.05579        30       640    0.9657    0.9639    0.9694    0.7933   0.01747     0.038  0.003811
   189/299     4.57G   0.01583   0.03508  0.002286   0.05319        37       640    0.9618    0.9661    0.9694    0.7882   0.01762   0.03769  0.004123
   190/299     4.57G   0.01634   0.03499  0.002307   0.05363        24       640    0.9719    0.9637    0.9695    0.7904   0.01761   0.03724  0.003827
   191/299     4.57G   0.01585   0.03377  0.002346   0.05196        13       640    0.9672    0.9639    0.9687    0.7897   0.01766     0.037  0.004104
   192/299     4.57G   0.01627   0.03454  0.002494    0.0533        53       640    0.9689    0.9528    0.9653    0.7859   0.01787   0.03823  0.004499
   193/299     4.57G   0.01577   0.03701  0.002636   0.05541       108       640    0.9644    0.9655    0.9667    0.7866   0.01801   0.03936   0.00408
   194/299     4.57G   0.01554   0.03541  0.002256   0.05321        12       640    0.9631    0.9648    0.9688    0.7899   0.01762   0.03688  0.004367
   195/299     4.57G   0.01577   0.03543  0.002208    0.0534        41       640    0.9663    0.9545    0.9684    0.7896   0.01778    0.0367  0.004815
   196/299     4.57G   0.01627   0.03524  0.002332   0.05384        42       640    0.9617    0.9547     0.969    0.7928   0.01755   0.03604   0.00478
   197/299     4.57G   0.01577   0.03534   0.00245   0.05356        51       640    0.9587      0.97    0.9705    0.7929   0.01761   0.03683  0.004176
   198/299     4.57G   0.01554   0.03482  0.002365   0.05273        10       640    0.9706     0.965    0.9674    0.7881   0.01783   0.03765  0.003835
   199/299     4.57G   0.01553   0.03408  0.002464   0.05208        16       640    0.9624    0.9735    0.9724    0.7947   0.01779   0.03671  0.003713
   200/299     4.57G   0.01589   0.03372  0.002398     0.052        36       640    0.9581    0.9649    0.9688    0.7901   0.01795   0.03755  0.004238
   201/299     4.57G   0.01577   0.03656  0.002208   0.05454        76       640    0.9519    0.9623    0.9683    0.7887   0.01776   0.03734  0.004779
   202/299     4.57G   0.01562   0.03503   0.00244   0.05309        65       640     0.961    0.9587    0.9671    0.7892   0.01773   0.03774  0.004528
   203/299     4.57G   0.01567   0.03271  0.002386   0.05076        67       640     0.961    0.9562     0.967    0.7871   0.01772   0.03709  0.004928
